,close,high,low,open,volume
2019-01-02 09:44:20+00:00,66.3,66.3,66.3,66.3,0
2019-01-02 09:44:30+00:00,66.35,66.35,66.31,66.34,4
2019-01-02 09:44:40+00:00,66.35,66.35,66.35,66.35,0
2019-01-02 09:44:50+00:00,66.31,66.31,66.31,66.31,1
2019-01-02 09:45:00+00:00,66.28,66.28,66.28,66.28,1
2019-01-02 09:45:10+00:00,66.42,66.42,66.34,66.35,23
2019-01-02 09:45:20+00:00,66.46,66.47,66.42,66.42,5
2019-01-02 09:45:30+00:00,66.46,66.46,66.46,66.46,1
2019-01-02 09:45:40+00:00,66.46,66.46,66.46,66.46,0
2019-01-02 09:45:50+00:00,66.46,66.46,66.46,66.46,0
2019-01-02 09:46:00+00:00,66.46,66.46,66.46,66.46,0
2019-01-02 09:46:10+00:00,66.4,66.41,66.4,66.41,4
2019-01-02 09:46:20+00:00,66.4,66.4,66.36,66.39,16
2019-01-02 09:46:30+00:00,66.42,66.42,66.42,66.42,3
2019-01-02 09:46:40+00:00,66.42,66.42,66.42,66.42,0
2019-01-02 09:46:50+00:00,66.42,66.42,66.42,66.42,0
2019-01-02 09:47:00+00:00,66.42,66.42,66.42,66.42,0
2019-01-02 09:47:10+00:00,66.42,66.42,66.42,66.42,0
2019-01-02 09:47:20+00:00,66.38,66.41,66.38,66.41,7
2019-01-02 09:47:30+00:00,66.43,66.43,66.4,66.41,6
2019-01-02 09:47:40+00:00,66.45,66.45,66.43,66.44,8
2019-01-02 09:47:50+00:00,66.5,66.5,66.48,66.48,2
2019-01-02 09:48:00+00:00,66.5,66.5,66.49,66.5,0
2019-01-02 09:48:10+00:00,66.46,66.46,66.44,66.45,6
2019-01-02 09:48:20+00:00,66.46,66.46,66.46,66.46,0
2019-01-02 09:48:30+00:00,66.46,66.46,66.46,66.46,0
2019-01-02 09:48:40+00:00,66.41,66.42,66.4,66.42,7
2019-01-02 09:48:50+00:00,66.4,66.41,66.4,66.41,2
2019-01-02 09:49:00+00:00,66.39,66.39,66.39,66.39,1
